section,display_name,part_file,flags,m11,m12,m13,m21,m22,m23,m31,m32,m33,offx,offy,offz,raw_tail,source_line
HATS,Hair with Ponytail and Baseball Cap,35660.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,325
HATS,Hair with Ponytail and Bright Pink Baseball Cap Pattern,35660P06.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,326
HATS,Hair with Ponytail and Coral Baseball Cap Pattern,35660P07.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,327
HATS,Hair with Ponytail and Dark Blue Baseball Cap Pattern,35660P02.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,328
HATS,Hair with Ponytail and Dark Red Baseball Cap Pattern,35660P04.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,329
HATS,Hair with Ponytail and Fringe,13785.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,331
HATS,Hair with Ponytail and Red Baseball Cap Pattern,35660P01.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,333
HATS,Hair with Ponytail and White Baseball Cap Pattern,35660P03.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,334
HATS,Hair with Ponytail and Swept Sideways Fringe,87990.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,335
HATS,Hair with Snakes,12889.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,338
HATS,Hair with Two Buns,30409.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,339
HATS,Hair with Two Locks on Left Side,15443.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,340
